CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
2.36,24.2,54.322000000000116,87.2,8.0,97.0,47.0,702.2,0.0,29.0,5.9,0.0,17.5,182.0,0.0,3.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.5758839872339667,26.507543770484496,54.322000000000116,95.59506173345524,5.0,88.0,77.0,702.6,0.0,32.0,6.2,0.0,15.69,259.0,0.0,1.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2.415208538651936,28.737526864801755,54.322000000000116,100.07802268866985,5.0,173.0,80.99013353029682,702.7,0.0,40.0,6.0,0.0,14.07,311.0,0.0,2.1,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2.5320437404623006,26.96172162639551,54.322000000000116,112.3465511507253,5.0,176.31665817434754,82.26689671843289,702.7,0.0,41.0,6.0,0.0,12.98,329.0,0.0,2.2,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False
2.5310821867150928,29.30158087788833,54.322000000000116,117.61423409380338,1.2908901477914085,168.48350372054858,76.8706436919642,702.7,0.0,25.0,6.1,0.0,12.12,293.0,0.0,2.4,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False
2.5457940752941997,29.202070470505006,54.2,118.32213269923594,3.0,162.21755725525267,79.1316197331578,702.4,0.0,20.0,5.7,0.0,11.59,295.0,0.0,3.0,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False
2.6,35.01840922262024,47.7,137.4,3.0,153.63848421330516,80.0,702.1,0.0,21.0,5.2,0.0,11.31,283.0,0.0,2.3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2.27,29.890234495186387,46.2,147.1,3.0,142.0,88.0,701.7,0.0,18.0,5.5,0.0,10.25,316.0,0.0,1.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.81,32.8,40.0,72.9,3.2580058604429123,178.0,69.0,701.3,0.0,22.0,7.0,0.0,10.31,277.0,0.0,2.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.56,13.1,34.9,48.0,4.0,136.0,51.0,701.1,0.0,35.0,8.6,0.0,10.81,260.0,0.0,3.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.53,15.8,36.1,51.9,4.0,97.0,53.0,700.8,0.0,38.0,9.2,0.0,10.93,265.0,0.0,2.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.68,33.5,36.5,70.0,3.0,127.0,47.0,700.9,0.0,30.0,7.5,0.0,11.0,231.0,0.0,1.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,49.7,39.3,89.0,3.0,100.0,42.0,701.0,0.0,29.0,7.6,0.0,12.4,194.0,0.0,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.81,45.83578201412415,38.2,142.7,4.0,96.0,46.0,701.1,0.0,9.0,5.9,0.002,11.8,232.0,0.0,2.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.689936443453441,48.23223972809378,40.0,141.2064692831774,6.0,131.0,49.0,701.1,0.0,16.0,6.3,0.136,15.74,271.0,0.0,3.7,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2.64,49.0372379983319,49.7,147.5,9.0,177.0,42.0,701.1,0.0,9.0,5.6,0.296,19.25,285.0,0.0,4.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.21,51.3,54.322000000000116,108.0,17.0,151.0,34.0,701.1,0.0,7.0,4.8,0.429,22.9,63.0,0.0,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.26,9.8,14.1,24.0,35.0,125.0,11.0,700.7,0.0,8.0,3.8,0.528,24.56,112.0,0.0,5.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.24,8.5,14.6,23.1,44.0,34.0,11.0,699.8,0.0,7.0,4.1,0.567,26.04,131.0,0.0,4.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.4,13.9,26.8,40.8,43.0,40.0,16.0,698.8,0.0,11.0,9.1,0.546,26.35,121.0,0.0,7.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.39,9.4,26.2,35.6,51.0,62.0,19.0,698.1,0.0,12.0,8.6,0.47,26.4,107.0,0.0,10.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.35,7.1,21.8,28.9,58.0,51.0,18.0,697.7,0.0,12.0,6.8,0.349,26.62,103.0,0.0,9.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
