CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
0.72,6.230859548192328,33.2,50.8,4.0,32.0,20.23,727.5,0.0,53.0,4.9,0.0,6.26,286.0,0.0,6.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.87,3.237968712489743,37.3,56.072970408589384,3.0,51.0,21.92,727.4,0.0,46.0,8.2,0.0,7.2,267.0,0.0,6.1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.18,6.396110620993458,36.4,62.184618667096764,3.0,73.0,21.86,727.1,0.0,45.0,8.0,8.333333300325718e-05,7.08,309.0,0.0,3.8,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1.27,4.773282210799636,34.8,46.553036401050655,5.0,83.0,22.38,727.8,0.0,42.0,7.4,0.00016666666638950496,8.88,280.0,0.0,7.0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1.26,6.983514600254876,38.2,63.38931321040289,10.0,82.0,22.9,727.8,0.0,37.0,8.233334364565863,0.00024999999979508287,11.5,297.0,0.0,8.4,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False
1.14,7.297711486763873,38.7,74.5,17.0,81.0,25.6,727.8,0.0,30.0,7.200002083529103,0.0003333333332148029,13.96,23.0,0.0,6.1,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
1.08,8.660339241366783,35.6,57.7,26.0,82.0,28.65,727.0,0.0,28.0,8.2,0.0004166666666435291,15.08,98.0,0.0,7.1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1.11,10.073397808309146,36.0,53.9,32.0,81.0,35.45,725.9,0.0,26.0,7.4,0.0005000000000761166,16.72,87.0,0.0,9.1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1.08,12.3,32.5,44.7,42.0,93.0,35.6397353082764,724.6,0.0,26.0,6.7,0.0005833333335073311,18.82,83.0,0.0,11.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0.88,8.1,25.2,33.2,48.0,102.0,27.96,723.8,0.0,24.0,5.6,0.0006666666669318587,20.6,65.0,0.0,11.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.85,6.4,22.7,29.1,50.0,82.0,25.94,723.5,0.0,24.0,5.3,0.0007500000003443134,21.53,75.0,0.0,12.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.86,5.1,20.7,25.8,44.0,73.0,17.02,723.2,0.0,26.0,4.9,0.0008333333337392326,21.77,110.0,0.0,9.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.96,4.4,22.6,27.0,42.0,58.0,18.22,723.2,0.0,29.0,4.6,0.0009166666671112958,20.44,91.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1.17,7.4,34.9,42.2,33.0,56.0,22.06,723.3,0.0,31.0,4.8,0.001,18.77,93.0,0.0,9.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.1269381162145904,7.792435486627414,34.765773358433904,40.356386485214884,32.98845964266416,59.676935591480955,22.656417640876427,723.4858417730935,0.0,31.0317540017422,4.733332229313366,0.0,18.256654077544127,106.94254291048469,0.0,9.33420915927028,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
1.59,8.100570662435704,44.8,42.16660928162352,4.0,63.0,18.54,723.6,0.0,45.0,4.0,0.0,14.45,201.0,0.0,4.1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.5734096465399696,9.533368272549703,44.8,47.10031870591458,3.0,61.0,19.45,723.6,0.0,50.0,4.1,0.0,13.25,251.0,0.0,3.3,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.6066131719580137,9.037383706735305,44.8,61.331084327492825,3.0,70.0,21.19,723.6,0.0,54.0,4.2,0.0,12.01,263.0,0.0,2.3,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.3002358363937343,8.79865010460335,44.8,44.34055119450034,3.0,73.0,20.36,723.3,0.0,56.0,4.4,0.0,11.61,266.0,0.0,4.7,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.11,10.0,44.8,56.8,5.0,67.0,22.97,723.0,0.0,49.0,5.1,0.0,12.97,281.0,0.0,8.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.1,4.8,43.4,48.1,7.0,61.0,25.81,722.4,0.0,48.0,5.4,0.0,13.04,284.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.88,3.2,28.9,32.1,15.0,63.0,21.95,722.1,0.0,49.0,5.1,0.0,12.73,288.0,0.0,9.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.76,2.7,23.7,26.4,19.0,51.0,22.07,721.7,0.0,43.0,6.1,0.0,13.71,286.0,0.0,10.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.7,3.1,23.6,26.7,18.0,56.0,21.98,721.4,0.0,43.0,6.1,0.0,13.33,290.0,0.0,9.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.71,8.9,31.0,39.9,9.0,55.0,21.38,721.4,0.0,41.0,5.8,0.0,13.4,284.0,0.0,10.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
